,LandCover,Wind,DEM,NDVI,Clouds,Temp,Eva,Eva_plant,AirTempCategory
13427,30.0,0.9433642,805.0,0.7,0.72817975,19.191864,-0.003589374,4.656613e-10,0
13489,50.0,0.9126389,1225.0,0.78,0.76973104,17.329224,-0.003965955,4.656613e-10,0
13557,40.0,0.9245134,2469.0,0.72,0.7667816,16.497284,-0.0039900397,4.656613e-10,0
14265,40.0,2.8423948,39.0,0.67,0.7943136,27.186462,-0.0036215922,-2.8265102e-05,0
14266,40.0,2.701979,49.0,0.63,0.8030059,27.315704,-0.0035990924,-9.39213e-06,0
15188,40.0,2.468051,14.0,0.78,0.8378658,26.737732,-0.00386909,-1.3254505e-05,0
15255,50.0,2.0683255,45.0,0.69,0.86061645,26.571991,-0.0037329292,4.656613e-10,0
15256,11.0,1.8924342,79.0,0.63,0.8745838,26.242676,-0.0037703232,4.656613e-10,0
15290,120.0,1.0965453,78.0,0.7,0.87298566,27.068817,-0.003789654,-8.7734696e-07,0
16138,50.0,1.0022914,1578.0,0.75,0.91361445,20.202026,-0.0033804323,4.656613e-10,0
16266,50.0,0.9760191,1168.0,0.72,0.9202539,19.089355,-0.0032592714,4.656613e-10,0
16276,50.0,1.1107948,1234.0,0.75,0.9054809,21.357056,-0.0035099383,4.656613e-10,0
16351,50.0,1.3662452,771.0,0.78,0.896165,24.077484,-0.003920005,4.656613e-10,0
16585,50.0,0.9951667,1587.0,0.73,0.91968215,19.401276,-0.0032264197,-3.10741e-05,0
16598,40.0,1.0986234,2765.0,0.7,0.91199034,16.743256,-0.0032203984,4.656613e-10,0
16654,50.0,0.9087797,1444.0,0.77,0.91605717,18.734222,-0.003317792,-8.953223e-06,0
16657,120.0,0.9115999,807.0,0.66,0.91386133,20.219421,-0.0033030035,-5.0908475e-06,0
16679,50.0,1.3358167,1138.0,0.73,0.89533347,22.919342,-0.004130531,4.656613e-10,0
16936,50.0,1.1437465,1079.0,0.72,0.89885455,19.169128,-0.003239518,-2.3696284e-06,0
16988,30.0,0.91293573,493.0,0.66,0.9075728,22.499146,-0.0031821595,-3.7657697e-05,0
17063,40.0,1.0906081,2359.0,0.68,0.91386133,16.912567,-0.003350855,-7.636504e-06,0
17074,50.0,1.2467579,1174.0,0.73,0.89537245,23.212097,-0.003955603,-2.0185034e-06,0
17200,50.0,1.1467152,1826.0,0.72,0.908989,18.899536,-0.0033128273,-0.00031320308,0
17246,10.0,0.97824556,2012.0,0.72,0.9276468,18.104584,-0.0035005368,4.656613e-10,0
17258,60.0,1.0497894,1692.0,0.39,0.91699266,17.600159,-0.0035817686,-1.3162532e-06,0
17389,100.0,1.0315324,1489.0,0.59,0.9157713,17.609955,-0.003600571,-2.0185034e-06,0
17396,30.0,1.134247,2006.0,0.72,0.9227225,17.717346,-0.0036098668,-0.00034814002,0
17458,30.0,1.094022,2475.0,0.7,0.92221576,16.875153,-0.0033063837,-2.194066e-06,0
17466,50.0,1.1835262,1955.0,0.78,0.9101064,20.71762,-0.0037871187,-6.1400317e-07,0
17525,10.0,1.1115369,2121.0,0.71,0.923684,16.456268,-0.0031918776,-8.7315605e-08,0
17580,40.0,0.90195185,1262.0,0.75,0.9139783,20.166382,-0.003471699,4.656613e-10,0
17587,50.0,1.0408835,2592.0,0.79,0.91799307,17.881317,-0.0033838125,-5.262219e-07,0
17729,50.0,1.1648238,1120.0,0.83,0.91379637,21.488068,-0.0037251124,4.656613e-10,0
17841,50.0,0.9519732,1845.0,0.77,0.9337145,19.024292,-0.0034396923,-2.5895008e-05,0
17857,50.0,1.1142087,2368.0,0.74,0.92572385,16.890747,-0.0036778944,4.656613e-10,0
17916,50.0,0.9497467,737.0,0.68,0.9262176,20.78534,-0.0034283896,4.656613e-10,0
18047,30.0,0.9148654,805.0,0.75,0.9324412,18.54126,-0.0033420876,4.656613e-10,0
18109,50.0,0.8822105,1225.0,0.79,0.9444726,16.626038,-0.0034634597,4.656613e-10,0
18177,40.0,0.90803754,2469.0,0.72,0.9434722,15.965668,-0.0035080367,4.656613e-10,0
18885,40.0,1.8487954,39.0,0.77,0.9399901,26.806366,-0.004087433,-2.677282e-05,0
18886,40.0,1.7952117,49.0,0.77,0.9409126,26.93692,-0.0039463076,-8.953223e-06,0
19808,40.0,1.8992621,14.0,0.75,0.9500986,26.215057,-0.0036905704,-1.15866615e-05,0
19875,50.0,1.6028447,45.0,0.71,0.95452917,26.106781,-0.0034663118,4.656613e-10,0
19876,11.0,1.4743031,79.0,0.64,0.9558414,25.899109,-0.003435784,4.656613e-10,0
19910,120.0,1.1311299,78.0,0.75,0.9325841,27.13388,-0.0039816946,-9.651283e-07,0
20758,50.0,1.0211422,1578.0,0.75,0.94808465,20.47876,-0.0035652898,4.656613e-10,0
20886,50.0,0.95880103,1168.0,0.82,0.95302194,19.285889,-0.003371031,4.656613e-10,0
20896,50.0,1.1973302,1234.0,0.76,0.9363001,21.75943,-0.003953913,4.656613e-10,0
20971,50.0,1.5679634,771.0,0.8,0.92594475,24.53421,-0.004798976,4.656613e-10,0
21205,50.0,0.973941,1587.0,0.75,0.9682237,19.02832,-0.0029551545,-2.8440663e-05,0
21218,40.0,1.1759561,2765.0,0.7,0.94132835,16.91571,-0.0034705373,4.656613e-10,0
21274,50.0,0.88369477,1444.0,0.79,0.9597263,18.453491,-0.003155223,-8.075411e-06,0
21277,120.0,0.9065532,807.0,0.7,0.95391846,20.045624,-0.0032632854,-4.915285e-06,0
21299,50.0,1.531004,1138.0,0.76,0.92126733,23.38501,-0.0049280594,4.656613e-10,0
21556,50.0,1.2513592,1079.0,0.75,0.921774,19.665985,-0.003707366,-2.6329722e-06,0
21608,30.0,0.9524185,493.0,0.69,0.94171816,22.227753,-0.0032232506,-3.6867666e-05,0
21683,40.0,1.1752139,2359.0,0.73,0.934689,17.232513,-0.0036638454,-8.5143165e-06,0
21694,50.0,1.372776,1174.0,0.78,0.9148098,23.810547,-0.004757779,-2.1062847e-06,0
21820,50.0,1.2335474,1826.0,0.73,0.92133224,19.4552,-0.00381152,-0.000364204,0
21866,10.0,0.9826985,2012.0,0.72,0.9568679,17.889801,-0.003431453,4.656613e-10,0
21878,60.0,1.1174742,1692.0,0.41,0.9381711,17.676361,-0.0039080684,-1.4918159e-06,0
22009,100.0,1.0998108,1489.0,0.6,0.9363001,17.629547,-0.0038231397,-2.194066e-06,0
22016,30.0,1.2019316,2006.0,0.71,0.925542,18.230682,-0.003943244,-0.00040379335,0
22078,30.0,1.1651206,2475.0,0.74,0.9341952,17.105957,-0.0036164161,-2.3696284e-06,0
22086,50.0,1.2742177,1955.0,0.8,0.91071707,21.412292,-0.0042095445,-7.017845e-07,0
22145,10.0,1.1888696,2121.0,0.75,0.9307911,16.763733,-0.003497051,-8.7315605e-08,0
22200,40.0,0.9282242,1262.0,0.79,0.93658596,20.048767,-0.0037382108,4.656613e-10,0
22207,50.0,1.1173258,2592.0,0.8,0.9337275,17.867065,-0.0036283527,-6.1400317e-07,0
22349,50.0,1.2672414,1120.0,0.84,0.90559787,22.290161,-0.0039663776,4.656613e-10,0
22461,50.0,0.979433,1845.0,0.75,0.94851345,18.938293,-0.0034114884,-2.536832e-05,0
22477,50.0,1.222712,2368.0,0.77,0.92104644,17.20044,-0.004140038,4.656613e-10,0
22536,50.0,0.9861124,737.0,0.76,0.93251914,20.614227,-0.0035261,4.656613e-10,0
22667,30.0,0.92703676,805.0,0.74,0.9350138,18.3862,-0.0033817,4.656613e-10,0
22729,50.0,0.89215535,1225.0,0.79,0.94740903,16.619812,-0.0034646217,4.656613e-10,0
22797,40.0,0.9012097,2469.0,0.74,0.94477147,15.934479,-0.003478354,4.656613e-10,0
23505,40.0,2.136307,39.0,0.84,0.94994265,26.401764,-0.004323945,-2.9055132e-05,1
23506,40.0,2.0579352,49.0,0.81,0.95155376,26.472168,-0.004095567,-9.655473e-06,1
24428,40.0,2.273903,14.0,0.7,0.96037596,25.823364,-0.0038329635,-1.2288911e-05,0
24495,50.0,1.8948091,45.0,0.81,0.9633903,25.670074,-0.003585677,4.656613e-10,0
24496,11.0,1.741628,79.0,0.83,0.9646766,25.449951,-0.0035216634,4.656613e-10,0
24530,120.0,1.0812569,78.0,0.77,0.94991666,26.301056,-0.0036298316,-8.7734696e-07,0
25378,50.0,0.99858063,1578.0,0.74,0.9649884,19.819275,-0.0034652555,4.656613e-10,0
25506,50.0,0.94781715,1168.0,0.82,0.96789885,18.674072,-0.0032730037,4.656613e-10,0
25516,50.0,1.1421138,1234.0,0.77,0.96044093,21.00058,-0.0036812746,4.656613e-10,0
25591,50.0,1.4530774,771.0,0.78,0.954776,23.61493,-0.004528767,4.656613e-10,0
25825,50.0,0.987003,1587.0,0.79,0.9716538,18.611237,-0.0029888514,-2.9406257e-05,0
25838,40.0,1.1090136,2765.0,0.71,0.9626497,16.284729,-0.00331494,4.656613e-10,0
25894,50.0,0.88933516,1444.0,0.76,0.9640529,18.008759,-0.0031675822,-8.5143165e-06,0
25897,120.0,0.8906711,807.0,0.76,0.962169,19.61383,-0.0031793073,-4.8275037e-06,0
25919,50.0,1.4176023,1138.0,0.79,0.94646055,22.492004,-0.004606513,4.656613e-10,0
26176,50.0,1.1532462,1079.0,0.75,0.9423418,18.891083,-0.003752788,-2.8085349e-06,0
26228,30.0,0.89052266,493.0,0.76,0.95016354,21.799988,-0.0030913153,-3.4848697e-05,0
26303,40.0,1.0690856,2359.0,0.73,0.949358,16.60913,-0.0034839525,-7.8120665e-06,0
26314,50.0,1.2794127,1174.0,0.76,0.9354036,22.897522,-0.00449919,-2.2818472e-06,0
26440,50.0,1.1505743,1826.0,0.74,0.9383919,18.706146,-0.0037334573,-0.0003262825,0
26486,10.0,0.9798783,2012.0,0.71,0.9598952,17.360413,-0.0034772977,4.656613e-10,0
26498,60.0,1.0380634,1692.0,0.41,0.94826657,17.131378,-0.0036862395,-1.4040346e-06,0
26629,100.0,1.0340557,1489.0,0.6,0.9451353,17.05249,-0.0036457821,-2.0185034e-06,0
26636,30.0,1.1259347,2006.0,0.73,0.9399901,17.486084,-0.0038020131,-0.00035823486,0
26698,30.0,1.0863036,2475.0,0.73,0.9454341,16.485687,-0.0034811005,-2.194066e-06,0
26706,50.0,1.2197434,1955.0,0.8,0.9282185,20.548279,-0.0041390876,-7.017845e-07,0
26765,10.0,1.1088651,2121.0,0.73,0.94314736,16.101135,-0.003421101,-8.7315605e-08,0
26820,40.0,0.90477204,1262.0,0.81,0.9465905,19.435608,-0.0036106063,4.656613e-10,0
26827,50.0,1.0546877,2592.0,0.78,0.94435567,17.268616,-0.003527579,-5.262219e-07,0
26969,50.0,1.2187043,1120.0,0.85,0.9222807,21.51123,-0.0041207075,4.656613e-10,0
27081,50.0,0.96280867,1845.0,0.75,0.9617402,18.32782,-0.0033159964,-2.4139381e-05,0
27097,50.0,1.1474572,2368.0,0.78,0.9351697,16.562317,-0.0040015536,4.656613e-10,0
27156,50.0,0.9488562,737.0,0.79,0.949267,19.987701,-0.003319271,4.656613e-10,0
27287,30.0,0.90714693,805.0,0.68,0.9540614,17.7677,-0.0032929683,4.656613e-10,0
27349,50.0,0.8813199,1225.0,0.81,0.9637411,15.905945,-0.0033118767,4.656613e-10,0
27417,40.0,0.89913166,2469.0,0.76,0.9640919,15.251801,-0.0034014534,4.656613e-10,0
28125,40.0,2.1409082,39.0,0.67,0.9476819,26.591156,-0.0043484517,-2.958182e-05,1
28126,40.0,2.0666926,49.0,0.72,0.9485654,26.67981,-0.0041846153,-9.831036e-06,1
29048,40.0,2.2025073,14.0,0.79,0.9629096,25.869263,-0.0038600054,-1.2376692e-05,0
29115,50.0,1.8468658,45.0,0.81,0.96624875,25.761871,-0.0035966628,4.656613e-10,0
29116,11.0,1.6999187,79.0,0.83,0.96735317,25.556,-0.003545959,4.656613e-10,0
29150,120.0,1.1671987,78.0,0.79,0.93238926,26.80014,-0.0041220807,-9.651283e-07,0
29998,50.0,1.0882332,1578.0,0.71,0.943719,20.187775,-0.0039164135,4.656613e-10,0
30126,50.0,1.033462,1168.0,0.83,0.95044935,19.023865,-0.003717401,4.656613e-10,0
30136,50.0,1.3034587,1234.0,0.78,0.92098147,21.379791,-0.0043380996,4.656613e-10,0
30211,50.0,1.6533114,771.0,0.82,0.9078716,24.343964,-0.005049326,4.656613e-10,0
30445,50.0,1.0109005,1587.0,0.81,0.97139394,18.876373,-0.0032321238,-2.9142913e-05,0
30458,40.0,1.3410118,2765.0,0.74,0.93294793,16.54361,-0.003823879,4.656613e-10,0
30514,50.0,0.932974,1444.0,0.79,0.9554516,18.32782,-0.0035498673,-8.602098e-06,0
30517,120.0,0.9852218,807.0,0.77,0.9467854,20.044312,-0.0037506754,-5.1786287e-06,0
30539,50.0,1.6745371,1138.0,0.8,0.8989715,23.147064,-0.0053502736,4.656613e-10,0
30796,50.0,1.4895916,1079.0,0.75,0.89907545,19.483276,-0.0036887745,-3.247441e-06,0
30848,30.0,1.0321262,493.0,0.78,0.93110293,22.32312,-0.0037448658,-3.853551e-05,0
30923,40.0,1.4201257,2359.0,0.73,0.9132767,16.827911,-0.0037969428,-9.918817e-06,0
30934,50.0,1.5215043,1174.0,0.79,0.8940731,23.551666,-0.005055347,-2.4574097e-06,0
31060,50.0,1.447437,1826.0,0.74,0.8976722,18.903107,-0.0041137356,-0.00039826313,0
31106,10.0,0.99902594,2012.0,0.73,0.94530416,17.784637,-0.0039289836,4.656613e-10,0
31118,60.0,1.3111771,1692.0,0.4,0.9167068,17.302032,-0.0043858457,-1.6673783e-06,0
31249,100.0,1.2598199,1489.0,0.59,0.91423815,17.325653,-0.004268488,-2.4574097e-06,0
31256,30.0,1.4311097,2006.0,0.7,0.9003877,17.75122,-0.0040833135,-0.00043504348,0
31318,30.0,1.3653545,2475.0,0.72,0.90928787,16.756622,-0.0038306396,-2.6329722e-06,0
31326,50.0,1.4419451,1955.0,0.8,0.8903832,20.839691,-0.0044363383,-8.7734696e-07,0
31385,10.0,1.3905878,2121.0,0.73,0.9056758,16.397888,-0.003633951,-8.7315605e-08,0
31440,40.0,0.970824,1262.0,0.8,0.916265,20.19046,-0.004146376,4.656613e-10,0
31447,50.0,1.2512108,2592.0,0.8,0.91008043,17.5654,-0.0040193,-7.017845e-07,0
31589,50.0,1.4561945,1120.0,0.85,0.8848612,22.003632,-0.0038839842,4.656613e-10,0
31701,50.0,1.0171345,1845.0,0.82,0.9359363,18.72174,-0.0038723645,-2.7738413e-05,0
31717,50.0,1.4060247,2368.0,0.77,0.89164346,16.87558,-0.0041980306,4.656613e-10,0
31776,50.0,1.060625,737.0,0.78,0.90516907,20.45871,-0.0039417655,4.656613e-10,0
31907,30.0,0.9764644,805.0,0.76,0.90848225,18.086304,-0.003789126,4.656613e-10,0
31969,50.0,0.9334193,1225.0,0.83,0.9304403,16.401459,-0.0037935623,4.656613e-10,0
32037,40.0,0.9368332,2469.0,0.76,0.92593175,15.67514,-0.003807189,4.656613e-10,0
32745,40.0,2.1376429,39.0,0.81,0.9645207,26.487762,-0.0040819403,-2.8967352e-05,0
32746,40.0,2.0662475,49.0,0.78,0.96533924,26.572876,-0.003926871,-9.655473e-06,0
33668,40.0,2.1174562,14.0,0.76,0.9677689,25.893768,-0.0037707458,-1.2025567e-05,0
33735,50.0,1.7781421,45.0,0.76,0.971225,25.779694,-0.003580184,4.656613e-10,0
33736,11.0,1.6399525,79.0,0.81,0.97212154,25.568024,-0.003551452,4.656613e-10,0
33770,120.0,1.2198918,78.0,0.79,0.96023303,26.57019,-0.0038773292,-9.651283e-07,0
34618,50.0,1.0897175,1578.0,0.8,0.94944894,20.162384,-0.0038720476,4.656613e-10,0
34746,50.0,1.0282669,1168.0,0.8,0.95196956,19.029663,-0.0036608875,4.656613e-10,0
34756,50.0,1.3031617,1234.0,0.79,0.9372356,21.48584,-0.0042749313,4.656613e-10,0
34831,50.0,1.7018484,771.0,0.8,0.9292579,24.290466,-0.004895419,4.656613e-10,0
35065,50.0,1.0051116,1587.0,0.79,0.96535224,18.71103,-0.003169061,-2.9845163e-05,0
35078,40.0,1.2754052,2765.0,0.7,0.9344031,16.644318,-0.003809513,4.656613e-10,0
35134,50.0,0.93282557,1444.0,0.78,0.9557375,18.180328,-0.0034464528,-8.8654415e-06,0
35137,120.0,0.9656289,807.0,0.74,0.94943595,19.956055,-0.0036588805,-5.7053167e-06,0
35159,50.0,1.6868569,1138.0,0.79,0.9178761,23.204987,-0.005213796,4.656613e-10,0
35416,50.0,1.4572335,1079.0,0.76,0.9085862,19.929321,-0.0035302197,-3.0718786e-06,0
35468,30.0,0.9921981,493.0,0.77,0.9282445,22.406006,-0.003658141,-4.345126e-05,0
35543,40.0,1.3536284,2359.0,0.73,0.91773325,17.279297,-0.003685817,-9.918817e-06,0
35554,50.0,1.538277,1174.0,0.78,0.90518206,23.611816,-0.0051273885,-2.4574097e-06,1
35680,50.0,1.4363047,1826.0,0.74,0.90472734,19.416443,-0.0040740175,-0.0003992287,0
35726,10.0,1.0174314,2012.0,0.72,0.9432383,17.7258,-0.0038383508,4.656613e-10,0
35738,60.0,1.2448282,1692.0,0.4,0.92009795,17.560028,-0.0043779234,-1.6673783e-06,0
35869,100.0,1.1997051,1489.0,0.6,0.9179671,17.505676,-0.004247044,-2.4574097e-06,0
35876,30.0,1.4061731,2006.0,0.72,0.90523404,18.219543,-0.003974617,-0.0004373258,0
35938,30.0,1.3052398,2475.0,0.72,0.91499174,17.020874,-0.0037914498,-2.6329722e-06,0
35946,50.0,1.4550071,1955.0,0.81,0.8948787,21.437256,-0.0043382053,-7.895657e-07,0
36005,10.0,1.3337387,2121.0,0.71,0.9116006,16.70047,-0.0035603251,-8.7315605e-08,0
36060,40.0,0.961176,1262.0,0.77,0.91571933,20.586609,-0.0038780686,4.656613e-10,0
